"Country","Continent","Rank","Title","Artists","Album","Explicit","Duration","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre","Unnamed..0","title"
"Global","Global",1,"Rain On Me (with Ariana Grande)","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)",0,"3:02",0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,"audio_features","24ySl2hOPGCDcxBxFIqWBu","spotify:track:24ySl2hOPGCDcxBxFIqWBu","https://api.spotify.com/v1/tracks/24ySl2hOPGCDcxBxFIqWBu","https://api.spotify.com/v1/audio-analysis/24ySl2hOPGCDcxBxFIqWBu",182200,4,"Pop",NA,""
"Global","Global",2,"Blinding Lights","The Weeknd","After Hours",0,"3:20",0.518,0.727,1,-5.947,1,0.0557,0.00153,0.000152,0.0882,0.342,170.962,"audio_features","5Sg09MvHqNWPWsYeuY2toY","spotify:track:5Sg09MvHqNWPWsYeuY2toY","https://api.spotify.com/v1/tracks/5Sg09MvHqNWPWsYeuY2toY","https://api.spotify.com/v1/audio-analysis/5Sg09MvHqNWPWsYeuY2toY",200046,4,"RnB",NA,""
"Global","Global",2,"Blinding Lights","The Weeknd","After Hours",0,"3:20",0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"audio_features","0sf12qNH5qcw8qpgymFOqD","spotify:track:0sf12qNH5qcw8qpgymFOqD","https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD","https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD",201573,4,"Pop",NA,""
"Global","Global",3,"ROCKSTAR (feat. Roddy Ricch)","DaBaby, Roddy Ricch","BLAME IT ON BABY",1,"3:01",0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,179.954,"audio_features","7ytR5pFWmSjzHJIeQkgog4","spotify:track:7ytR5pFWmSjzHJIeQkgog4","https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4","https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4",181733,4,"Underground Rap",NA,""
"Global","Global",3,"ROCKSTAR (feat. Roddy Ricch)","DaBaby, Roddy Ricch","BLAME IT ON BABY",1,"3:01",0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,"audio_features","7ytR5pFWmSjzHJIeQkgog4","spotify:track:7ytR5pFWmSjzHJIeQkgog4","https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4","https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4",181733,4,"Rap",NA,""
"Global","Global",3,"ROCKSTAR (feat. Roddy Ricch)","DaBaby, Roddy Ricch","BLAME IT ON BABY",1,"3:01",0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,179.954,"audio_features","7ytR5pFWmSjzHJIeQkgog4","spotify:track:7ytR5pFWmSjzHJIeQkgog4","https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4","https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4",181733,4,"Pop",NA,""
"Global","Global",4,"Roses - Imanbek Remix","SAINt JHN, Imanbek","Roses (Imanbek Remix)",1,"2:56",0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,"audio_features","24Yi9hE78yPEbZ4kxyoXAI","spotify:track:24Yi9hE78yPEbZ4kxyoXAI","https://api.spotify.com/v1/tracks/24Yi9hE78yPEbZ4kxyoXAI","https://api.spotify.com/v1/audio-analysis/24Yi9hE78yPEbZ4kxyoXAI",176840,4,"Pop",NA,""
"Global","Global",5,"Toosie Slide","Drake","Dark Lane Demo Tapes",1,"4:07",0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,"audio_features","127QTOFJsJQp5LbJbu3A1y","spotify:track:127QTOFJsJQp5LbJbu3A1y","https://api.spotify.com/v1/tracks/127QTOFJsJQp5LbJbu3A1y","https://api.spotify.com/v1/audio-analysis/127QTOFJsJQp5LbJbu3A1y",247059,4,"Rap",NA,""
"Global","Global",5,"Toosie Slide","Drake","Dark Lane Demo Tapes",1,"4:07",0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,163.236,"audio_features","127QTOFJsJQp5LbJbu3A1y","spotify:track:127QTOFJsJQp5LbJbu3A1y","https://api.spotify.com/v1/tracks/127QTOFJsJQp5LbJbu3A1y","https://api.spotify.com/v1/audio-analysis/127QTOFJsJQp5LbJbu3A1y",247059,4,"Pop",NA,""
"Global","Global",7,"THE SCOTTS","THE SCOTTS, Travis Scott, Kid Cudi","THE SCOTTS",1,"2:45",0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,"audio_features","39Yp9wwQiSRIDOvrVg7mbk","spotify:track:39Yp9wwQiSRIDOvrVg7mbk","https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk","https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk",165978,4,"Underground Rap",NA,""
