created_at,text,screen_name,profile_image
Tue Feb 23 19:46:42 +0000 2021,https://t.co/n2DOhajVhF,DaDemolitionMan,https://pbs.twimg.com/profile_images/1361027001935679495/xU59xaS__normal.jpg
Tue Feb 23 19:33:44 +0000 2021,"I can not promise I will listen to radio country music. I just can’t do it, it’s like nails to a chalk board, it makes me physically ill. Blue grass is fine, or less pop style country is okay to, but most country music is not my style.",cailyn_17,https://pbs.twimg.com/profile_images/1359783756949782529/sIh9d0fx_normal.jpg
Tue Feb 23 19:24:34 +0000 2021,"Pop Enemies Out Now 🔥🔥 

https://t.co/raTupB6EEx

#rapper #rap #hiphop #music #artist #producer #dj #soundcloud #beats #newmusic #trap #hiphopmusic #love #musicproducer #singer #rappers #art #rnb #musician #studio #instagood #follow #like #SmallStreamersConnect y",jusstakczmusic,https://pbs.twimg.com/profile_images/1358724613568679937/9P1Xf-06_normal.jpg
Tue Feb 23 19:22:43 +0000 2021,"Pop Enemies Out Now 🔥🔥 

https://t.co/raTupB6EEx

#rapper #rap #hiphop #music #artist #producer #dj #soundcloud #beats #newmusic #trap #hiphopmusic #love #musicproducer #singer #rappers #art #rnb #musician #studio #instagood #follow #like #SmallStreamersConnect https://t.co/BD776eXA3x",jusstakczmusic,https://pbs.twimg.com/profile_images/1358724613568679937/9P1Xf-06_normal.jpg
Tue Feb 23 19:14:13 +0000 2021,"If I could write music, I would be writing some killer Pop Punk tracks right now lemme tell ya",SuperPuppy448,https://pbs.twimg.com/profile_images/1326302282217086982/th84aSyq_normal.jpg
Tue Feb 23 19:11:22 +0000 2021,"a bit early for his birthday but, here is ollie from Pop'n music sunny park performing some tricks on his snowboard. https://t.co/YKVA7D7QaJ",Ktchelle12,https://pbs.twimg.com/profile_images/1356301027394392069/6aTguX4J_normal.jpg
Tue Feb 23 19:10:41 +0000 2021,"Tetra the angel fish from Pop'n Music 9. eh, not my best art.. https://t.co/C3mnZv8jG1",Ktchelle12,https://pbs.twimg.com/profile_images/1356301027394392069/6aTguX4J_normal.jpg
Tue Feb 23 19:09:21 +0000 2021,"🎸 Drop your links !    
#spotify #Playlist Submissions
Increase continuously your listeners audience

🔥Try it now =&gt;  https://t.co/H7YQDdHPa1  

-Promote organically your new music
-Track submission to Playlists
-Playlists for many music genres (HipHop Pop Rock EDM Indie) https://t.co/rW8DSXbZ7k",ArtistsandMusic,https://pbs.twimg.com/profile_images/639878411918405632/wkQatrEL_normal.jpg
Tue Feb 23 19:02:25 +0000 2021,has rina cited janet as an influence? cause she definitely is omg. this sound comes from britney which first came from janet. it’s just so crazy how janets influence will reverberate throughout pop music forever https://t.co/DryLIBB49S,sexysadclown,https://pbs.twimg.com/profile_images/1361426869539778560/Nz9b2mcf_normal.jpg
Tue Feb 23 19:00:01 +0000 2021,The Norman Music Festival Transmissions series will feature Norman-based art rock artist Kat Lock on its Feb. 26 livestream: https://t.co/BE8IpXLZKk,OUDaily,https://pbs.twimg.com/profile_images/690569517672456192/2OiRI5-q_normal.png
Tue Feb 23 18:56:44 +0000 2021,https://t.co/8m6rwT45U6 Stop selling your art for a quick buck!,MedSharpe1,https://pbs.twimg.com/profile_images/1353193981501435905/BKMhtc9V_normal.jpg
Tue Feb 23 18:41:22 +0000 2021,"Mariachi band plays outside US Senator Ted Cruz’s house following Cancún trip controversy https://t.co/ocsXojnWKN via @NME | Music, Film, TV, Gaming &amp; Pop Culture News",Amitochondrio,https://pbs.twimg.com/profile_images/1281441733482393600/gys8avPa_normal.jpg
Tue Feb 23 18:32:04 +0000 2021,@Bro_Its_Mac My teachers always play this weird pop turned into classical music. It hurts my ears,ltsCarson,https://pbs.twimg.com/profile_images/1364223792478711816/g_ciHvg8_normal.jpg
Tue Feb 23 18:23:06 +0000 2021,When did Machine Gun Kelly switch to pop punk music and why does it remind me of everything I listened to in high school?,marypennies,https://pbs.twimg.com/profile_images/461559605118517249/5E2O3PkI_normal.jpeg
Tue Feb 23 18:15:00 +0000 2021,"Show 2 of #BCCABACK is the Janoska Quartet. Their unique blend of Classic and classic Pop was looking to be one of the highlights of last year's season, so we're excited to have them come back for this coming season on 10/27. https://t.co/dQYTyVLJDX",bcca_music,https://pbs.twimg.com/profile_images/1349908475023921158/qH3NwfmG_normal.jpg
Tue Feb 23 18:03:39 +0000 2021,"[🇺🇸 US iTunes] #SHINee     #Dont_Call_Me DAY 2

#1 ALL GENRE ALBUM 👑

#61 ALL GENRE SONG 💪
#12 Pop Song
#2 K-Pop Song

#1 ALL GENRE MV 👑

We need much MORE than #1 iTunes album to make it onto Billboard 200! 💪 Let’s GO!! Have you bought the album yet?

https://t.co/W9tOqxtvWI https://t.co/F2JuvcyVVB",SHINeeUSAForums,https://pbs.twimg.com/profile_images/986780302596075520/ablljl51_normal.jpg
Tue Feb 23 18:01:41 +0000 2021,"Pop music people: can anyone recommend a book on the nuts and bolts of the record industry in the 90s (contracts, artistic control, money, etc.)?",ZerbinettasBlog,https://pbs.twimg.com/profile_images/1185626072/profile2_normal.jpg
Tue Feb 23 17:52:23 +0000 2021,"@OtterrificRob Let's be honest, the AC charts was your grandma's music. Either pop songs that got huge and crossed over or just your standard artists you would always see there. That is not the case anymore.",seanthurmond,https://pbs.twimg.com/profile_images/1345747832402305025/dHLJvcgn_normal.jpg
Tue Feb 23 17:37:27 +0000 2021,"The new single ""TOUCH"" coming Friday March 12 on all streaming platforms...

#music #NowPlaying #SpotifyPlaylist #pop #musique #NewSingle

#Apple #NowPlaying
#Download #popmusic #ポップミュージック https://t.co/vTlkhznM7Y",BafooneryJean,https://pbs.twimg.com/profile_images/1323726195154890752/Z2Wn8_Ud_normal.jpg
Tue Feb 23 17:37:05 +0000 2021,Without Psy - Gangnam Style we wouldn’t have K-Pop. Without Twenty One Pilots we wouldn’t have Billie Eilish and without her than we wouldn’t have these smaller female indie pop stars A.K.A Billie Clones. Funny how music evolves.,Haunted_Haunter,https://pbs.twimg.com/profile_images/1112835235916513280/4CK_b7O5_normal.jpg
Tue Feb 23 17:30:23 +0000 2021,"Check out the variety of online group classes you can attend! Everything from creating your own music to learning pop covers on piano!
Check it out here:
https://t.co/R0hLRvLanu https://t.co/yefouTeHkV",ForbesMusicCo,https://pbs.twimg.com/profile_images/1513532658/fmclogo2_normal
Tue Feb 23 17:17:09 +0000 2021,"Malcolm - Menininha Pop Star. See The Lyrics and Music Video on our website For Everyone Now
 
#Malcolm #MenininhaPopStar #Music #ForEveryoneNow 

https://t.co/oo9xJA7H0C",fenforeveryone,https://pbs.twimg.com/profile_images/597053094854135808/NTw9dcJZ_normal.jpg
Tue Feb 23 17:09:06 +0000 2021,"this is true. the 90's had tons of strong, actually in-control women in music. Courtney Love, Alanis Morrisette, Salt n Pepa, Queen Latifah, Shirley Manson, Liz Phair, Foxy Brown...even Spice Girls which were also pop but def more ""girl power"" oriented

https://t.co/JgOTWFmdav https://t.co/G4iahz0O3O",bigkittenqueen,https://pbs.twimg.com/profile_images/1358999112662863874/qWWPKDG9_normal.jpg
Tue Feb 23 17:01:26 +0000 2021,"Music artist from Oceanside, CA. He makes music of the housing hip-hop genre with touches in the realms of Pop, Afrobeat, Dancehall, EDM and Reggaeton. The track ""Come to Me"" is of great Pop/Dancehall appeal.     
https://t.co/Ho7rgdO9xx",MySocialPoint,https://pbs.twimg.com/profile_images/1131314392983904256/eTEDTQJR_normal.png
Tue Feb 23 16:56:21 +0000 2021,Lobbing this https://t.co/XAOD55VKyI,tear_rio,https://pbs.twimg.com/profile_images/1341599745429680128/JtI9LD6a_normal.jpg
